strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Peru/SAM-INS-2272/2021	EPI_ISL_3401460		Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Laboratorio de Referencia Nacional de Virus Respiratorios. Centro Nacional de Salud Publica. Instituto Nacional de Salud Peru.	Carlos Padilla Rojas et al
hCoV-19/Chile/AP-118978/2021	EPI_ISL_2930515		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al
hCoV-19/Brazil/PB-FIOCRUZ-44647/2021	EPI_ISL_3827853		Laboratorio Central de Saude Publica do Estado da Paraiba (LACEN/PB)	Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ	Paola Resende et al
hCoV-19/Chile/AP-109861/2021	EPI_ISL_2892667		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al
hCoV-19/Suriname/SR-272/2021	EPI_ISL_2502491		Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink et al
hCoV-19/Colombia/ANT-CWOHC-VG-SEC00852T/2021	EPI_ISL_2621208		CENTROLAB	Universidad Nacional de Colombia - Laboratorio Genómico One Health	Andres F. Cardona-Rios et al
hCoV-19/Suriname/SR-292/2021	EPI_ISL_2502416		Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink et al
hCoV-19/Argentina/PAIS-J00052/2021	EPI_ISL_3825480		Laboratorio Central de Salud Publica	Laboratorio de Biología Molecular, Instituto de Medicina Regional on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Verónica Gómez et al
hCoV-19/Argentina/PAIS-G0315/2021	EPI_ISL_2940275		Laboratorio Central, Ministerio de Salud Córdoba	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández et al
hCoV-19/Chile/VS-126580/2021	EPI_ISL_3368864		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al
hCoV-19/Suriname/SR-245/2021	EPI_ISL_2502391		Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink et al
hCoV-19/CostaRica/INC-0781/2021	EPI_ISL_3037817		AREA DE SALUD BELEN-FLORES - CLINICA DR. JORGE VOLIO	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
hCoV-19/Ecuador/USFQ-1909/2021	EPI_ISL_3505591		Center for Research on Health in Latin America	Institute of Microbiology, Universidad San Francisco de Quito	Sully Márquez et al
hCoV-19/Chile/LR-132098/2021	EPI_ISL_3535996		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al
hCoV-19/Colombia/CO-UV-20027012/2021	EPI_ISL_3898955		Universidad del Valle, LDAB-Laboratorio de Diagnostico de Agentes Biologicos	Universidad del Valle	Programa Nacional de Caracterización Genómica de SARS-CoV-2 et al
hCoV-19/NewZealand/21MV0468/2021	EPI_ISL_2650016		LabPLUS	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
hCoV-19/Ecuador/USFQ-1952-PUCE-74551/2021	EPI_ISL_3505630		Center for Research on Health in Latin America	Institute of Microbiology, Universidad San Francisco de Quito	Juan José Guadalupe et al
hCoV-19/Brazil/AM-FIOCRUZ-21840050SRD/2021	EPI_ISL_2777467		Laboratorio de Ecologia de Doencas Transmissiveis na Amazonia, Instituto Leonidas e Maria Deane - Fiocruz Amazonia	Laboratorio de Ecologia de Doencas Transmissiveis na Amazonia, Instituto Leonidas e Maria Deane - Fiocruz Amazonia	Valdinete Nascimento et al
hCoV-19/Bolivia/Sucre-GM2-4/2021	EPI_ISL_2462063		Laboratorio de Biologia Molecular, Hospital San Pedro Claver	Microbiologia Molecular, Instituto SELADIS, Universidad Mayor de San Andrés	Oscar M. Rollano-Peñaloza et al
hCoV-19/Bolivia/Sucre_GM2-1/2021	EPI_ISL_2600378		Laboratorio de Biologia Molecular, Hospital San Pedro Claver	Molecular Genetics Laboratory, Instituto de Investigaciones Químicas, Universidad Mayor de San Andrés	Oscar M. Rollano-Peñaloza et al
hCoV-19/Chile/RM-100221/2021	EPI_ISL_2557299		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al
hCoV-19/Guyane/HCL021120540001/2021	EPI_ISL_3130099		BIOMNIS LYON	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
hCoV-19/Suriname/SR-404/2021	EPI_ISL_3462617		Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink et al
hCoV-19/Suriname/SR-360/2021	EPI_ISL_3462531		Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink et al
hCoV-19/Guyane/HCL021120697901/2021	EPI_ISL_3130100		BIOMNIS LYON	CNR Virus des Infections Respiratoires - France SUD	Antonin Bal et al
hCoV-19/Mexico/SO-ALSR-105381/2021	EPI_ISL_3374038		Salud Digna, A.C	Andersen lab at Scripps Research	SEARCH Alliance with Abraham Campos Romero et al
hCoV-19/Mexico/NAY-InDRE_FB21011_S5115/2021	EPI_ISL_3265605		LESP Nayarit	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/CostaRica/HNN-1035/2021	EPI_ISL_3761771		HOSPITAL NACIONAL DE NIÑOS	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Cristian Pérez-Corrales et al
hCoV-19/Venezuela/Dtt54/2021	EPI_ISL_2628299	MZ611964.1	IVIC	Laboratorio de Virología Molecular	Rossana C Jaspe et al
hCoV-19/Colombia/CVU3871/2021	EPI_ISL_3491805		Gencore - Universidad de los Andes	Gencore - Universidad de los Andes	Luisa Sacristan et al
hCoV-19/Venezuela/Dtt292/2021	EPI_ISL_2628305	MZ611970.1	IVIC	Laboratorio de Virología Molecular	Rossana C Jaspe et al
hCoV-19/Argentina/PAIS-E0290/2021	EPI_ISL_3033071		Laboratorio Central de la Ciudad de Santa Fe	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Eberhardt et al
hCoV-19/Argentina/PAIS-E0320/2021	EPI_ISL_3260104		Laboratorio Central de la Ciudad de Santa Fe	Grupo de Genómica y Bioinformática del Instituto de Investigación de la Cadena Láctea CONICET-INTA on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Eberhardt et al
hCoV-19/Brazil/RS-LMM60255/2021	EPI_ISL_3456067		Laboratório de Microbiologia Molecular - Universidade FEEVALE	Molecular Microbiology Laboratory	Alana Witt Hansen et al
hCoV-19/Guatemala/ASI4118/2021	EPI_ISL_3527817		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Chile/AP-113053/2021	EPI_ISL_2892643		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al
hCoV-19/BosniaandHerzegovina/VFS-UNSA-LMGFI038/2021	EPI_ISL_3076939		University Clinical Hospital of Mostar, Department of Microbiology and Molecular Diagnostics	University of Sarajevo, Veterinary Faculty, Laboratory for Molecular Diagnostic and Research Laboratory	Goletic S et al
hCoV-19/USA/AL-UAB-GX333/2021	EPI_ISL_3050138	MZ558265.1	Pathology, UAB	Pathology, UAB	Moates et al
hCoV-19/Colombia/G019341/2021	EPI_ISL_3491820		Gencore - Universidad de los Andes	Gencore - Universidad de los Andes	Luisa Sacristan et al
hCoV-19/Curacao/CW-RIVM-44543/2021	EPI_ISL_3136615		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/CostaRica/INC-0666/2021	EPI_ISL_2502762		HOSPITAL SAN JUAN DE DIOS	Inciensa, Instituto Costarricense de InvestigaciOn y Enseñanza en NutriciOn y Salud	Francisco Duarte et al
hCoV-19/Mexico/ROO-IBT_IMSS_2065/2021	EPI_ISL_2801617		Unidad de Investigación Médica de Yucatán (UIMY)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/TAM-INMEGEN-17-146/2021	EPI_ISL_3067935		Salud Digna	Instituto Nacional de Medicina Genomica	Cedro-Tanda A et al
hCoV-19/Mexico/AGU-InDRE_FB19716_S5092/2021	EPI_ISL_3265587		LESP Aguascalientes	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/BCN-ALSR-105301/2021	EPI_ISL_3373977		Salud Digna, A.C	Andersen lab at Scripps Research	SEARCH Alliance with Abraham Campos Romero et al
hCoV-19/Venezuela/Bol4717/2021	EPI_ISL_2628194	MZ611958.1	INHRR	Laboratorio de Virología Molecular	Rossana C Jaspe et al
hCoV-19/NewZealand/21MV0444/2021	EPI_ISL_2406491		Middlemore Hospital	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
hCoV-19/Ecuador/NIC-INSPI-339879/2021	EPI_ISL_3068239		INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	NIC-INSPI	Alfredo Bruno et al
hCoV-19/TrinidadandTobago/72364/2021	EPI_ISL_2756578		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/58563/2021	EPI_ISL_3846004		Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/73977/2021	EPI_ISL_2716574		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/66585/2021	EPI_ISL_2678181		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/64359/2021	EPI_ISL_2658401		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/73807/2021	EPI_ISL_2716583		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/66348/2021	EPI_ISL_3634457		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/66362/2021	EPI_ISL_3634471		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/66356/2021	EPI_ISL_3634469		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/73954/2021	EPI_ISL_2716580		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/59135/2021	EPI_ISL_3924132		Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/67929/2021	EPI_ISL_2678146		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/73842/2021	EPI_ISL_2716577		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/51599/2021	EPI_ISL_3642762		Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/49928/2021	EPI_ISL_3610769		Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/57798/2021	EPI_ISL_3774213		Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/66329/2021	EPI_ISL_3634458		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/68586/2021	EPI_ISL_2716590		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/74802/2021	EPI_ISL_3610771		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/70631/2021	EPI_ISL_2716589		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/50453/2021	EPI_ISL_3610776		Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/59828/2021	EPI_ISL_3760200		Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/58904/2021	EPI_ISL_3846011		Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/48653/2021	EPI_ISL_3634448		Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/59075/2021	EPI_ISL_3924136		Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/TrinidadandTobago/48650/2021	EPI_ISL_3634447		Trinidad Public Health Laboratory	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/Aruba/AW-RIVM-14870/2021	EPI_ISL_1165565		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Suriname/SR-474/2021	EPI_ISL_3462596		Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink et al
hCoV-19/Suriname/SR-508/2021	EPI_ISL_3462716		Central Laboratory, Bureau of Public Health (BOG) and Academic Hospital Paramaribo	Erasmus Medical Center	Bas B Oude Munnink et al
hCoV-19/Brazil/RJ-LNN01243/2021	EPI_ISL_2385523		Laboratorio Central Noel Nutels	Bioinformatics Laboratory / LNCC	Luiz G P de Almeida et al
hCoV-19/Italy/UMB-IZSGC-297079.1.38/2021	EPI_ISL_2840669		Azienda USL Umbria 2	Istituto Zooprofilattico Sperimentale dell’Abruzzo e Molise “G. Caporale”	Proietti A et al
hCoV-19/Curacao/CW-RIVM-44497/2021	EPI_ISL_3136569		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Canada/NL-NML-85357/2021	EPI_ISL_2484594		NL-Dr. Leonard A. Miller Centre for Health Services	National Microbiology Laboratory (NML)	Anna Majer et al
hCoV-19/Canada/BC-BCCDC-125482/2021	EPI_ISL_3601404		British Columbia Centre For Disease Control	BCCDC Public Health Laboratory	Prystajecky Natalie et al
hCoV-19/USA/IL-CDC-ASC210108528/2021	EPI_ISL_2687338	MZ450543.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Aruba/AW-RIVM-39273/2021	EPI_ISL_2610733		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/USA/NY-PRL-2021_0607_00B09/2021	EPI_ISL_2631359		Pandemic Response Lab - NYC	Pandemic Response Lab, R&D	Henry Lee et al
hCoV-19/Jordan/AM-Biolab012/2021	EPI_ISL_1406183		Biolab Diagnostic Laboratories	Biolab Diagnostic Laboratories	Issa Abu-Dayyeh et al
hCoV-19/Colombia/MET-INS-VG-5017/2021	EPI_ISL_3459378		HOSPITAL DEPARTAMENTAL DE VILLAVICENCIO	Instituto Nacional de Salud	Katherine Laiton-Donato et al
hCoV-19/Aruba/AW-RIVM-36937/2021	EPI_ISL_2475680		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/USA/OH-GD-SID-21061725179/2021	EPI_ISL_3461338	MZ573740.1	Laboratory, Gravity Diagnostics	Laboratory, Gravity Diagnostics	Diagnostics et al
hCoV-19/Bonaire/BQ-RIVM-45034/2021	EPI_ISL_3137106		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/USA/PR-CDC-ASC210109557/2021	EPI_ISL_2785452	MZ566404.1	Aegis Sciences Corporation	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Aruba/AW-RIVM-32967/2021	EPI_ISL_2219098		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Aruba/AW-RIVM-36911/2021	EPI_ISL_2475715		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Aruba/AW-RIVM-38708/2021	EPI_ISL_2610169		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Aruba/AW-RIVM-41523/2021	EPI_ISL_2787918		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/CostaRica/INC-0789/2021	EPI_ISL_3037822		AREA DE SALUD PARAISO-CERVANTES	Inciensa, Instituto Costarricense de Investigación y Enseñanza en Nutrición y Salud	Francisco Duarte et al
